serno,qa1,qa2,qa3,qa4,qa5a,qa5b,qa5c,qa6,qa7a,qa7b,qa7c,qa7d,qa7e,qa8a,qa8b,qa8c,qa8d,qa8e,qa8f,qa8g,qa8h,qa9a,qa9b,qa9c,qa9d,qa9e,qa9f,qb2a,qb2b,qb3,qb4,qb6a,qb6b,qb6c,qb6d,qb7a,qb7b,qb7c,qb8,qc1a,qc1b,qc1c,qc1d,qc2a,qc2b,qc2c,qc2d,qc2e,qc2f,qc3,qd1,qd3,qd4,qd5a,qd5b,qd5c,qe1,qe2,qe3,qe11,qe13,qe14,qe15
1001008,3,1,21,24,1,1,2,2,1,1,1,1,1,1,1,2,2,2,5,1,1,3,5,4,5,5,5,3,3,2,3,2,2,2,2,3,3,3,3,1,1,1,1,3,3,3,3,2,3,2,3,3,1,,,,2,6,2,,,,
1001008,1,3,38,38,1,3,5,2,1,3,3,4,4,2,3,3,2,4,3,4,2,3,4,3,4,4,4,2,3,1,1,3,2,3,2,3,4,3,3,3,2,1,1,3,3,3,4,4,3,3,2,,,,,,1,7,3,5,1,1,1
1001008,4,1,28,0,4,4,2,4,4,4,4,4,4,3,3,3,3,3,3,3,3,5,2,5,2,5,1,4,4,4,3,2,2,2,2,5,5,5,3,5,5,5,3,3,3,4,4,5,3,4,3,2,2,,,,2,6,1,6,1,1,1
1001008,2,1,35,36,3,3,2,3,4,4,3,3,4,5,5,5,3,4,4,2,5,5,4,5,4,5,3,4,4,4,1,4,4,4,,3,3,4,5,2,2,2,2,4,4,3,3,4,4,4,3,,1,3,3,3,2,4,1,8,1,1,1
1001008,1,3,35,4,2,1,3,1,2,2,1,1,3,2,2,3,3,2,3,3,1,3,5,4,5,4,5,4,4,2,2,2,1,2,1,2,3,3,2,1,2,1,1,2,2,2,2,3,2,2,3,,,,,,1,4,2,8,1,1,1
1001008,4,1,35,40,2,3,2,2,2,2,2,2,3,3,2,2,2,2,3,2,,3,4,3,3,3,3,4,4,3,2,2,2,2,2,2,3,3,2,2,2,2,2,3,2,2,2,2,2,2,3,,,,,,2,4,2,10,1,1,1
1001008,1,3,35,40,2,5,2,3,4,3,3,4,4,2,3,2,1,2,2,2,1,5,5,5,5,5,5,5,5,6,2,2,2,2,3,4,2,3,3,2,2,2,1,1,1,1,2,2,1,2,3,3,,,,,2,4,2,6,3,1,1
1001008,4,1,20,22,3,4,,4,4,4,4,4,4,2,4,4,2,2,4,,2,4,5,4,5,5,5,4,4,1,3,2,3,2,1,4,4,4,3,3,3,2,2,3,3,4,2,2,3,2,3,3,2,,,,2,8,3,3,1,2,1
1001008,4,1,21,21,3,4,2,2,2,2,3,4,4,2,2,2,1,2,2,2,2,4,5,4,5,5,5,4,4,5,2,1,1,1,2,2,2,4,4,2,1,1,1,2,2,2,1,1,2,2,3,,2,,,,1,8,1,5,1,2,1
1001008,3,1,35,38,2,3,2,3,2,2,2,2,3,1,1,2,1,1,3,2,1,4,5,4,5,4,5,3,3,3,2,2,2,2,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,3,,,,,,2,4,1,8,1,2,1
1001008,4,1,35,37,3,4,2,3,3,2,1,1,2,1,1,3,3,4,2,2,1,3,5,4,3,4,4,1,5,3,3,2,2,3,3,3,4,5,3,2,1,1,1,,4,2,5,4,4,4,1,,,,,,2,6,2,11,1,2,1
1001008,5,1,35,10,2,2,2,2,1,1,1,1,1,1,2,2,4,1,4,2,2,3,4,2,5,4,5,1,4,5,3,4,2,2,2,2,3,3,2,2,2,2,2,2,1,1,2,2,1,2,3,3,1,3,3,4,2,6,2,14,1,2,1
1001008,3,1,26,30,4,4,3,2,4,4,4,4,4,4,4,3,4,4,3,2,3,3,3,4,3,4,3,3,3,2,2,4,4,3,3,3,4,4,4,3,3,2,3,3,4,3,2,3,3,3,3,2,1,2,,3,2,6,1,1,3,2,1
1001008,4,1,28,36,2,3,1,3,2,1,1,1,2,1,1,1,1,1,3,1,1,5,5,5,5,4,5,3,3,5,3,2,2,2,2,1,1,2,2,2,1,1,1,2,2,1,1,2,1,2,3,,,,,,1,8,2,7,1,5,1
1001008,4,3,,,3,4,2,1,4,4,4,4,4,2,5,5,2,3,4,2,2,3,5,4,5,5,5,3,3,5,2,2,5,2,2,5,5,5,4,2,1,1,1,5,5,5,2,3,4,4,2,2,2,,,,1,8,1,5,1,1,2
1001008,5,1,16,32,5,5,1,4,4,4,3,4,4,1,3,3,4,2,3,2,2,5,5,5,5,5,5,5,5,4,1,2,2,2,1,2,2,3,3,2,1,1,1,3,2,2,2,2,3,2,3,2,2,,,,1,8,2,5,1,2,2
1002005,4,1,40,50,2,3,4,3,2,2,2,2,2,4,4,4,4,4,5,5,5,2,2,2,2,2,2,2,3,1,2,5,5,5,5,4,4,4,4,3,4,4,5,5,5,5,5,5,5,4,3,2,1,5,4,5,1,6,2,11,3,2,1
1002005,5,1,40,48,2,4,4,2,3,3,2,2,4,2,2,3,2,2,3,3,2,4,3,4,3,4,3,4,4,2,3,3,3,3,3,2,3,,3,,,,,3,3,3,3,3,3,2,2,,1,,,,1,7,4,9,12,2,1
1002005,5,1,40,50,3,3,1,4,4,,,,,1,1,1,1,1,3,,1,5,5,5,5,5,5,3,4,2,1,2,2,2,2,2,2,4,3,5,3,1,1,1,1,1,3,1,1,3,1,1,1,1,3,1,1,8,2,8,8,4,1
1002005,5,1,40,50,1,2,4,3,1,1,1,1,1,1,2,2,2,2,4,3,4,1,1,2,3,3,4,3,4,6,2,3,2,3,2,2,3,3,2,2,1,2,2,3,2,3,3,3,3,3,2,1,1,1,2,2,1,7,2,11,14,6,1
1002005,3,1,40,42,2,2,3,3,2,2,1,1,2,3,2,2,3,4,3,3,3,3,4,4,4,4,4,4,4,4,2,2,2,3,2,2,2,3,4,2,2,3,3,4,3,4,4,3,3,3,3,,1,2,2,3,1,5,1,10,8,7,1
1002009,5,1,38,39,3,2,2,4,2,2,2,1,3,3,3,,4,4,4,2,3,4,4,4,4,4,4,4,4,1,2,4,4,4,3,4,4,5,3,2,,3,3,3,4,2,2,5,3,3,2,2,2,,,,2,7,2,11,1,1,1
1002009,1,1,38,45,2,3,2,2,1,1,1,1,2,2,2,2,3,2,3,2,2,3,4,3,5,4,5,3,4,4,2,3,2,3,4,2,1,2,2,1,2,2,3,2,2,2,2,2,2,2,3,3,1,,,,1,5,2,13,1,1,1
1002009,4,1,40,35,2,4,3,3,2,4,1,1,4,1,2,2,3,2,4,2,1,4,5,4,5,5,5,4,4,4,2,1,1,1,2,2,3,2,2,1,2,2,2,2,2,2,2,2,3,2,2,,3,2,2,2,2,7,1,9,1,2,1
1002009,3,1,37,37,2,2,2,3,1,1,1,1,3,2,2,2,3,3,3,3,2,3,4,4,4,4,4,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,2,2,3,,,,,,2,4,1,10,1,2,1
1002009,1,1,42,47,1,2,2,3,3,1,1,1,1,3,3,2,1,3,3,2,3,2,3,3,3,4,4,3,4,5,3,2,2,3,2,1,2,2,2,2,2,2,3,3,2,1,1,2,1,2,3,3,,,,,1,4,1,11,1,2,1
1002009,2,1,42,47,2,2,2,2,2,2,2,2,2,4,2,2,5,4,4,2,3,1,4,1,4,3,3,4,4,3,1,4,4,4,2,4,4,4,4,2,4,4,4,4,4,2,4,4,4,3,3,,,,,,2,4,2,11,1,2,1
1002009,3,1,39,45,2,2,3,2,1,2,1,2,1,3,2,2,3,3,4,3,2,4,5,4,5,5,4,3,4,2,2,1,2,2,2,1,3,2,2,3,3,2,2,3,2,2,3,2,2,2,3,2,1,2,2,4,1,6,2,13,1,2,1
1002009,1,1,40,55,1,4,1,5,1,1,1,1,1,1,1,1,1,1,4,1,1,3,5,3,5,5,5,4,4,5,3,1,1,1,1,2,3,4,1,1,1,1,1,2,2,2,1,1,1,1,3,3,1,1,1,1,1,5,2,14,1,2,1
1002009,3,1,38,55,2,1,1,2,1,2,1,1,2,2,2,2,2,1,3,2,2,2,2,2,2,2,3,1,4,4,3,2,2,2,1,2,4,2,2,1,1,1,1,2,2,2,2,2,2,2,3,,2,,,,1,4,2,12,8,4,1
1002010,3,1,38,38,1,1,2,3,2,4,2,2,3,2,1,2,3,3,2,2,2,2,1,2,2,2,2,3,4,1,2,4,3,4,5,3,2,2,3,1,1,1,2,3,3,4,5,3,4,4,3,,1,,,,,,,,,,
1002010,2,1,38,37,1,4,1,4,2,2,1,3,4,1,4,3,5,1,5,1,1,3,5,5,5,5,5,4,5,5,3,2,4,5,4,5,5,,3,,2,1,1,2,2,4,,1,5,2,2,,1,5,,5,1,4,1,8,8,,1
1002010,1,1,38,39,2,3,4,2,2,4,3,2,4,3,3,3,2,2,3,4,2,4,4,4,4,5,4,2,4,3,2,3,3,3,3,3,3,3,4,2,3,3,2,3,3,3,3,2,3,3,3,,1,,,,2,4,1,7,1,1,1
1002010,3,1,38,40,2,3,2,4,1,1,2,2,3,5,4,4,4,5,5,2,4,3,3,4,3,5,5,4,4,1,2,1,4,2,2,2,4,5,4,2,3,3,3,3,2,2,2,3,2,2,3,,,,,,1,4,2,8,1,1,1
1002010,4,1,37,37,1,3,2,4,1,2,1,1,3,3,3,3,4,5,5,3,3,3,2,2,2,3,3,2,3,2,1,3,4,3,3,4,4,5,4,4,3,1,2,4,4,5,4,5,3,4,3,,1,3,4,3,2,4,1,8,1,2,1
1002010,3,1,38,43,1,3,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,3,5,4,5,4,5,4,4,5,3,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,3,,1,,3,4,1,4,1,11,1,2,1
1002010,4,1,38,38,2,2,2,4,2,2,2,2,2,2,2,2,1,1,2,2,1,4,5,5,5,5,5,3,4,4,3,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,1,3,3,,,,,2,5,2,11,1,2,1
